ingre_no,ingre_name,ingre_en_name,ingre_allergy
515,오이,NULL,0
516,오이피클,NULL,0
517,오징어,NULL,1
518,오징어채,NULL,1
519,옥수수,NULL,0
520,"옥수수 소스",NULL,0
521,옥수수기름,NULL,0
522,옥수수통조림,NULL,0
523,올리고당,NULL,0
524,올리브,NULL,0
525,올리브오일,NULL,0
526,올리브유,NULL,0
527,와사비,NULL,0
528,와사비소스,NULL,0
529,완두콩,NULL,0
530,완두콩통조림,NULL,0
531,왜된장,NULL,0
532,요구르트,NULL,0
533,요리술,NULL,0
534,우거지,NULL,0
535,우동면,NULL,0
536,우렁이,NULL,0
537,우무,NULL,0
538,우묵,NULL,0
539,우스터소스,NULL,0
540,우엉,NULL,0
541,우유,NULL,1
542,월계수잎,NULL,0
543,유부,NULL,0
544,유채씨기름,NULL,0
545,육수,NULL,0
546,육회,NULL,0
547,은박컵,NULL,0
548,은행,NULL,0
549,이스트,NULL,0
550,이태리고추,NULL,0
551,이태리파슬리,NULL,0
552,인삼,NULL,0
553,인절미,NULL,0
554,일본된장,NULL,0
555,잉어,NULL,0
556,자몽,NULL,0
557,잔멸치,NULL,0
558,잔새우,NULL,1
559,잡뼈국물,NULL,0
560,잣,NULL,0
561,잣가루,NULL,0
562,장식용어묵,NULL,0
563,장아찌,NULL,0
564,장어,NULL,0
565,장어대리,NULL,0
566,장어뼈,NULL,0
567,장조림,NULL,0
568,재첩,NULL,0
569,저민마늘,NULL,0
570,적양배추,NULL,0
571,적양배추잎,NULL,0
572,적채,NULL,0
573,전복,NULL,1
574,전분,NULL,0
575,전어,NULL,0
576,전어젓갈,NULL,0
577,"절인 배추",NULL,0
578,절임무,NULL,0
579,젓국,NULL,0
580,정수물,NULL,0
581,정제수(생수),NULL,0
582,정종,NULL,0
583,정향,NULL,0
584,조,NULL,0
585,조개,NULL,1
586,조개살,NULL,1
587,조갯살,NULL,0
588,조기,NULL,0
589,조림간장,NULL,0
590,조미료,NULL,0
591,조미술,NULL,0
592,조청,NULL,0
593,주꾸미,NULL,0
594,죽순,NULL,0
595,중국부추,NULL,0
596,중새우,NULL,1
597,중새우살,NULL,1
598,쥐포,NULL,0
599,진간장,NULL,0
600,진밥,NULL,0
601,진밥(멥쌀+찹쌀),NULL,0
602,"짜장 소스",NULL,0
603,쪽파,NULL,0
604,쫄면,NULL,0
605,쭈꾸미,NULL,0
606,"찐옥수수 알갱이",NULL,0
607,차이브,NULL,0
608,차조,NULL,0
609,찬물,NULL,0
610,찬밥,NULL,0
611,참기름,NULL,0
612,참깨,NULL,0
613,참나물,NULL,0
614,참빛고운포도씨유,NULL,0
615,참소라살,NULL,0
616,참쌀,NULL,0
617,참외,NULL,0
618,참치,NULL,0
619,참치캔,NULL,0
620,참치통조림,NULL,0
621,찹쌀,NULL,0
622,찹쌀가루,NULL,0
623,채소,NULL,0
624,채썬마늘,NULL,0
625,채썬생강,NULL,0
626,채썬쇠고기,NULL,1
627,청경채,NULL,0
628,청고추,NULL,0
629,청국장,NULL,0
