id,food_no,ingre_no
770,64,574
771,64,921
772,64,76
773,64,222
774,64,313
775,64,476
776,64,731
777,64,889
778,64,1062
779,64,1093
780,64,728
781,64,1079
782,64,1087
783,64,258
784,64,585
785,64,204
786,64,546
787,64,261
788,64,920
789,64,1020
790,64,77
791,64,16
792,64,112
793,64,586
794,64,880
795,64,1146
796,64,553
797,64,1071
798,64,180
799,64,80
800,64,81
801,64,326
802,65,80
803,65,315
804,65,389
805,65,586
806,66,389
807,66,574
808,66,921
809,66,313
810,66,731
811,66,1062
812,66,1087
813,66,332
814,66,258
815,66,585
816,66,187
817,66,275
818,66,810
819,66,920
820,66,963
821,66,80
822,66,1146
823,67,16
824,67,318
825,67,326
826,67,586
827,67,779
828,67,414
829,67,1146
830,68,16
831,68,377
832,68,386
833,68,574
834,68,658
835,68,731
836,68,962
837,69,16
838,69,23
839,69,80
840,69,81
841,69,192
842,69,258
843,69,574
844,69,586
845,69,711
846,69,731
847,69,779
848,69,920
849,69,962
850,70,60
851,70,192
852,70,197
853,70,222
854,70,231
855,70,325
856,70,326
857,70,478
858,70,920
859,70,1089
860,70,1146
861,71,80
862,71,81
863,71,135
864,71,204
865,71,363
866,71,389
867,71,574
868,71,731
869,71,904
870,71,912
871,71,920
872,71,962
873,71,1146
874,72,192
875,72,204
876,72,222
877,72,224
878,72,258
879,72,326
880,72,400
881,72,586
882,72,731
883,72,958
884,72,1060
885,72,1087
886,72,1148
887,73,81
888,73,83
889,73,192
890,73,362
891,73,386
892,73,574
893,73,586
894,73,904
895,73,920
896,73,1055
897,74,16
898,74,105
899,74,192
900,74,275
901,74,332
902,74,476
903,74,920
904,74,1055
905,74,1124
906,74,666
907,75,16
908,75,105
909,75,192
910,75,275
911,75,332
912,75,476
913,75,920
914,75,1055
915,75,1124
916,75,666
917,76,80
918,76,81
919,76,84
920,76,86
921,76,313
922,76,658
923,76,724
924,76,731
925,76,769
926,76,779
927,76,1055
928,76,1071
929,77,86
930,77,386
931,77,504
932,77,506
933,77,574
934,77,592
935,77,722
936,77,769
937,77,1062
938,78,80
939,78,81
940,78,86
941,78,192
942,78,222
943,78,574
944,78,658
945,78,724
946,78,731
947,78,769
948,78,904
949,78,920
950,79,80
951,79,86
952,79,137
953,79,222
954,79,231
955,79,574
956,79,592
957,79,658
958,79,731
959,79,769
960,79,920
961,79,962
962,79,1055
963,80,30
964,80,60
965,80,205
966,80,442
967,80,574
968,80,586
969,80,798
970,81,132
971,81,231
972,81,270
973,81,377
974,81,386
975,82,15
976,82,81
977,82,196
978,82,503
979,82,548
980,82,657
981,82,1146
982,83,90
983,83,632
984,83,231
985,83,731
986,83,675
987,83,76
988,83,137
989,84,107
990,84,23
991,84,224
992,84,574
993,84,270
994,84,276
995,84,76
996,84,222
997,84,279
998,84,313
999,84,377
1000,84,378
1001,84,390
1002,84,423
1003,84,476
1004,84,553
1005,84,675
1006,84,724
1007,84,731
1008,84,1021
1009,84,1062
1010,84,1127
1011,84,180
1012,84,180
1013,84,1079
1014,84,1087
1015,84,848
1016,84,187
1017,84,80
1018,84,81
1019,84,265
1020,84,586
1021,84,880
1022,84,1146
1023,85,776
1024,85,64
1025,85,574
1026,85,286
1027,85,222
1028,85,724
1029,85,769
1030,85,1048
1031,85,20
1032,85,117
1033,85,122
1034,85,283
1035,85,353
1036,85,402
1037,85,418
1038,85,463
1039,85,504
1040,85,621
1041,85,763
1042,85,935
1043,85,1031
1044,85,1068
1045,85,1081
1046,85,790
1047,85,318
1048,85,586
1049,85,410
1050,85,687
1051,85,327
1052,85,490
1053,85,791
1054,85,1070
1055,86,81
1056,86,95
1057,86,137
1058,86,192
1059,86,231
1060,86,326
1061,86,362
1062,86,377
1063,86,386
1064,86,586
1065,86,675
1066,86,904
1067,86,962
1068,86,1079
1069,86,1146
1070,87,414
1071,87,95
1072,87,658
1073,87,574
1074,87,586
1075,87,785
1076,88,16
1077,88,136
1078,88,192
1079,88,231
1080,88,270
1081,88,275
1082,88,386
1083,88,414
1084,88,731
1085,88,265
1086,88,962
1087,89,63
1088,89,321
1089,89,442
1090,89,504
1091,89,866
1092,89,1152
1093,90,60
1094,90,105
1095,90,110
1096,90,270
1097,90,363
1098,90,377
1099,90,395
1100,90,586
1101,90,187
1102,91,105
1103,91,110
1104,91,185
1105,91,231
1106,91,360
1107,91,377
1108,91,386
1109,91,548
1110,91,1131
1111,92,81
1112,92,110
1113,92,192
1114,92,362
1115,92,377
1116,92,476
1117,92,574
1118,92,586
1119,92,1055
1120,93,81
1121,93,222
1122,93,313
1123,93,326
1124,93,332
1125,93,377
1126,93,574
1127,93,586
1128,93,712
1129,93,731
1130,93,732
1131,93,912
1132,93,962
1133,93,1055
1134,94,399
1135,94,879
1136,94,777
1137,94,1020
1138,95,399
1139,95,76
1140,95,222
1141,95,476
1142,95,731
1143,95,1062
1144,95,204
1145,95,110
1146,95,777
1147,95,1020
1148,96,110
1149,96,192
1150,96,222
1151,96,231
1152,96,386
1153,96,393
1154,96,423
1155,96,586
1156,96,657
1157,96,731
1158,96,920
1159,96,962
1160,96,1148
1161,97,276
1162,97,121
1163,97,313
1164,97,731
1165,97,1062
1166,97,363
1167,97,187
1168,97,80
1169,97,81
1170,97,265
1171,97,76
1172,97,270
1173,97,586
1174,97,880
1175,98,16
1176,98,208
1177,98,213
1178,98,231
1179,98,358
1180,98,386
1181,98,553
1182,98,586
1183,98,657
1184,98,218
1185,98,1146
1186,99,128
1187,99,354
1188,99,943
1189,100,16
1190,100,80
1191,100,81
1192,100,127
1193,100,386
1194,100,983
1195,100,779
1196,100,1008
1197,101,389
1198,101,574
1199,101,921
1200,101,222
1201,101,313
1202,101,476
1203,101,1062
1204,101,130
1205,101,275
1206,101,920
1207,101,16
1208,101,81
1209,101,586
1210,102,16
1211,102,81
1212,102,112
1213,102,130
1214,102,192
1215,102,326
1216,102,735
1217,102,586
1218,102,666
1219,102,773
1220,102,779
1221,102,920
1222,102,921
1223,103,81
1224,103,133
1225,103,231
1226,103,270
1227,103,586
1228,103,659
1229,103,1021
1230,104,81
1231,104,130
1232,104,132
1233,104,414
1234,104,574
1235,104,1118
1236,104,920
1237,104,962
1238,104,1096
1239,105,80
1240,105,132
1241,105,204
1242,105,414
1243,105,574
1244,105,593
1245,105,904
1246,105,1008
1247,106,81
1248,106,105
1249,106,132
1250,106,192
1251,106,231
1252,106,270
1253,106,162
1254,106,325
1255,106,503
1256,106,731
1257,106,962
1258,106,1087
1259,106,1127
1260,107,132
1261,107,231
1262,107,574
1263,107,920
1264,107,939
1265,108,80
1266,108,112
1267,108,132
1268,108,326
1269,108,414
1270,108,1118
1271,108,779
1272,108,920
1273,108,1148
1274,109,81
1275,109,105
1276,109,132
1277,109,192
1278,109,231
1279,109,386
1280,109,731
1281,109,735
1282,109,795
1283,109,1079
1284,110,399
1285,110,574
1286,110,76
1287,110,222
1288,110,731
1289,110,1062
1290,110,132
1291,110,204
1292,110,1020
1293,110,586
1294,111,132
1295,111,231
1296,111,270
1297,111,1118
1298,111,731
1299,111,815
1300,111,1079
1301,112,81
1302,112,132
1303,112,140
1304,112,231
1305,112,265
1306,112,386
1307,112,574
1308,112,731
1309,112,920
1310,113,81
1311,113,105
1312,113,313
1313,113,586
1314,113,659
1315,113,962
1316,113,1021
1317,113,1062
1318,114,105
1319,114,106
1320,114,132
1321,114,231
1322,114,586
1323,114,735
1324,115,130
1325,115,386
1326,115,657
1327,115,921
1328,115,1060
1329,116,60
1330,116,80
1331,116,81
1332,116,130
1333,116,231
1334,116,414
1335,116,574
1336,116,657
1337,116,904
1338,116,920
1339,116,1055
1340,117,399
1341,117,776
1342,117,866
1343,117,574
1344,117,788
1345,117,921
1346,117,76
1347,117,222
1348,117,313
1349,117,553
1350,117,731
1351,117,1062
1352,117,1093
1353,117,728
1354,117,1087
1355,117,204
1356,117,546
1357,117,920
1358,117,1020
1359,117,77
1360,117,80
1361,117,81
1362,117,326
1363,117,586
1364,117,658
1365,117,880
1366,117,1049
1367,117,1109
1368,117,1146
1369,117,983
1370,118,16
1371,118,82
1372,118,110
1373,118,173
1374,118,231
1375,118,270
1376,118,386
1377,118,574
1378,118,658
1379,118,958
1380,118,963
1381,118,1131
1382,119,574
1383,119,667
1384,119,921
1385,120,131
1386,120,136
1387,120,222
1388,120,414
1389,120,586
1390,120,609
1391,120,920
1392,121,16
1393,121,81
1394,121,136
1395,121,137
1396,121,222
1397,121,313
1398,121,332
1399,121,712
1400,121,731
1401,121,779
1402,121,912
1403,122,16
1404,122,137
1405,122,192
1406,122,196
1407,122,275
1408,122,386
1409,122,16
1410,122,1055
1411,122,1131
1412,123,105
1413,123,137
1414,123,275
1415,123,586
1416,123,1055
1417,124,137
1418,124,334
1419,124,386
1420,124,574
1421,124,658
1422,124,904
1423,125,60
1424,125,137
1425,125,400
1426,125,1118
1427,126,389
1428,126,574
1429,126,921
1430,126,76
1431,126,222
1432,126,279
1433,126,313
1434,126,731
1435,126,1062
1436,126,332
1437,126,364
1438,126,275
1439,126,920
1440,126,16
1441,126,81
1442,126,586
1443,126,880
1444,127,560
1445,127,582
1446,127,587
1447,128,389
1448,128,574
1449,128,921
1450,128,76
1451,128,222
1452,128,313
1453,128,731
1454,128,1062
1455,128,139
1456,128,275
1457,128,920
1458,128,16
1459,128,81
1460,128,1146
1461,129,399
1462,129,140
1463,129,777
1464,129,1020
1465,129,586
1466,129,1146
1467,130,81
1468,130,132
1469,130,140
1470,130,231
1471,130,265
1472,130,386
1473,130,574
1474,130,731
1475,130,920
1476,131,140
1477,131,731
1478,131,231
1479,131,962
1480,131,313
1481,131,16
1482,131,574
1483,131,586
1484,131,1146
1485,131,920
1486,131,386
1487,131,127
1488,132,132
1489,132,731
1490,132,231
1491,132,962
1492,132,140
1493,132,106
1494,132,185
1495,132,574
1496,132,920
1497,132,81
1498,132,16
1499,132,963
1500,132,196
1501,132,192
1502,132,80
1503,132,1148
1504,133,943
1505,133,866
1506,133,574
1507,133,276
1508,133,286
1509,133,921
1510,133,76
1511,133,279
1512,133,313
1513,133,390
1514,133,476
1515,133,731
1516,133,1021
1517,133,1062
1518,133,360
1519,133,363
1520,133,1137
1521,133,52
1522,133,157
1523,133,392
1524,133,546
1525,133,773
1526,133,275
1527,133,920
1528,133,81
1529,133,586
1530,133,880
1531,133,1146
1532,134,270
1533,134,76
1534,134,313
1535,134,377
1536,134,390
1537,134,553
1538,134,675
1539,134,731
1540,134,1021
1541,134,1062
1542,134,1127
1543,134,1079
1544,134,363
1545,134,405
1546,134,52
1547,134,392
1548,134,546
1549,134,773
1550,134,187
1551,134,963
1552,134,16
1553,134,80
1554,134,81
1555,134,265
1556,134,586
1557,134,1146
1558,135,136
1559,135,150
1560,135,151
1561,135,313
1562,135,389
1563,135,574
1564,135,16
1565,136,399
1566,136,389
1567,136,921
1568,136,76
1569,136,222
1570,136,313
1571,136,1062
1572,136,275
1573,136,920
1574,136,16
1575,136,81
1576,136,586
1577,136,880
1578,137,30
1579,137,63
1580,137,386
1581,137,574
1582,137,586
1583,137,657
1584,138,16
1585,138,49
1586,138,57
1587,138,64
1588,138,152
1589,138,288
1590,138,386
1591,138,389
1592,138,657
1593,139,81
1594,139,222
1595,139,377
1596,139,425
1597,139,554
1598,139,560
1599,139,574
1600,139,586
1601,139,912
1602,139,1057
1603,139,1131
1604,140,16
1605,140,80
1606,140,81
1607,140,157
1608,140,231
1609,140,326
1610,140,414
1611,140,574
1612,140,731
1613,140,779
1614,140,920
1615,140,962
1616,140,1055
1617,140,1146
1618,141,80
1619,141,81
1620,141,157
1621,141,332
1622,141,390
1623,141,574
1624,141,658
1625,141,731
1626,141,920
1627,141,962
1628,141,1055
1629,142,81
1630,142,157
1631,142,192
1632,142,231
1633,142,326
1634,142,574
1635,142,657
1636,142,731
1637,142,904
1638,142,962
1639,143,356
1640,143,224
1641,143,389
1642,143,574
1643,143,270
1644,143,76
1645,143,222
1646,143,279
1647,143,313
1648,143,377
1649,143,390
1650,143,423
1651,143,675
1652,143,724
1653,143,731
1654,143,1021
1655,143,1062
1656,143,1127
1657,143,180
1658,143,180
1659,143,1079
1660,143,1087
1661,143,848
1662,143,363
1663,143,157
1664,143,920
1665,143,594
1666,143,16
1667,143,80
1668,143,81
1669,143,586
1670,143,880
1671,143,1146
1672,144,866
1673,144,389
1674,144,574
1675,144,276
1676,144,921
1677,144,313
1678,144,390
1679,144,731
1680,144,1021
1681,144,1062
1682,144,363
1683,144,591
1684,144,52
1685,144,157
1686,144,392
1687,144,546
1688,144,885
1689,144,275
1690,144,920
1691,144,963
1692,144,16
1693,144,81
1694,144,586
1695,144,880
1696,144,1146
1697,145,16
1698,145,60
1699,145,418
1700,145,515
1701,145,574
1702,145,586
1703,145,920
1704,145,921
1705,145,1057
1706,146,16
1707,146,80
1708,146,192
1709,146,386
1710,146,779
1711,146,920
1712,146,1008
1713,147,60
1714,147,130
1715,147,158
1716,147,222
1717,147,332
1718,147,586
1719,147,636
1720,147,659
1721,147,731
1722,147,920
1723,147,1062
1724,147,1124
1725,148,23
1726,148,224
1727,148,270
1728,148,276
1729,148,921
1730,148,76
1731,148,222
1732,148,279
1733,148,313
1734,148,377
